No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39129,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,253500,Other UOM,253500,253500
39153,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,257100,Other UOM,257100,257100
39154,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,257200,Other UOM,257200,257200
39155,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,257200,Other UOM,257200,257200
39156,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,2.00,257400,Other UOM,514800,514800
39157,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,257600,Other UOM,257600,257600
39158,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,257700,Other UOM,257700,257700
39161,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,258100,Other UOM,258100,258100
39162,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,258430,Other UOM,258430,258430
39163,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,258500,Other UOM,258500,258500
39168,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,259100,Other UOM,259100,259100
39169,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,259400,Other UOM,259400,259400
39190,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,263300,Other UOM,263300,263300
39191,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,263900,Other UOM,263900,263900
39196,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,265000,Other UOM,265000,265000
39209,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,265000,Other UOM,265000,265000
39226,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,265600,Other UOM,265600,265600
39228,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,266800,Other UOM,266800,266800
39229,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,266900,Other UOM,266900,266900
39230,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,266900,Other UOM,266900,266900
39231,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,267200,Other UOM,534400,534400
39232,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,267250,Other UOM,267250,267250
39233,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,267900,Other UOM,267900,267900
39234,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,268000,Other UOM,268000,268000
39238,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,268100,Other UOM,536200,536200
39239,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,268500,Other UOM,537000,537000
39240,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,3.00,268800,Other UOM,806400,806400
39243,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269000,Other UOM,269000,269000
39245,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269100,Other UOM,269100,269100
39247,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,2.00,269300,Other UOM,538600,538600
39250,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Zendalo Hr Consulting,PPE021 Sanitising of buildings,,2020-10-15,1.00,269600,Other UOM,269600,269600
39251,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269700,Other UOM,269700,269700
39252,Orders flagged by media,Supplier problems,Companies on the Treasury restricted suppliers list,article1,https://www.dailymaverick.co.za/article/2021-11-17-blooming-impunity-update-on-ppe-irregular-expenditure-and-graft/,Blooming impunity: Update on PPE irregular expenditure...,Mark Heywood,2021-11-17,https://www.dailymaverick.co.za/wp-content/uploads/2021/11/MC-RedRoses-Ctd.jpg?w=1280,Education,Mangaliso Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,269800,Other UOM,269800,269800
